,name,region,subregion,votes,rating,length,lengthtype,gain,hpoint,fee,lat,long,trailhead1,trailhead2,author1,author2,countreports,Wildflowers/Meadows,Mountain views,Dogs allowed on leash,Established campsites,Waterfalls,Good for kids,Fall foliage,Ridges/passes,Wildlife,Old growth,Summits,Lakes,Rivers,Coast
93,Sauer's Mountain,Central Cascades,Stevens Pass - East,13,4.00,6.0,roundtrip,2000,3116,None,47.5881,-120.5992,Private Property,,,,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,McCormick Forest Park,Olympic Peninsula,Kitsap Peninsula,2,3.00,3.0,roundtrip,200,400,None,47.3512,-122.6213,PenMet Parks,,,,12,0,0,1,0,0,1,1,0,1,1,0,0,0,0
95,Crystal Lakes,Mount Rainier Area,NE - Sunrise/White River,32,4.22,6.0,roundtrip,2600,5828,None,46.9227,-121.5336,Crystal Lakes Trail (#),"Mount Rainier National Park, Sunrise Ranger Station",WTA Correspondents,Alan Gibbs,296,1,1,0,1,0,0,0,0,1,1,0,1,0,0
96,Green Mountain - Wildcat Trail,Olympic Peninsula,Kitsap Peninsula,3,4.33,9.5,roundtrip,1900,1639,Discover Pass,47.6003,-122.7881,Wildcat (#),Department of Natural Resources,WTA Staff,Anna Roth,37,0,1,1,1,0,0,1,0,0,0,1,0,0,0
97,Columbia Plateau Trail - Fish Lake,Eastern Washington,Spokane Area/Coeur d'Alene,2,3.50,7.5,roundtrip,200,2277,Discover Pass,47.5662,-117.4933,Columbia Plateau Trail - Fish Lake (#),,WTA Correspondents,Aaron Thiesen,6,0,0,1,0,0,0,0,0,1,1,0,1,0,0
98,Kettle Crest South ,Eastern Washington,Okanogan Highlands/Kettle River Range,10,3.60,5.0,roundtrip,900,6500,None,48.6311,-118.4935,Kettle Crest South (#13),"Colville National Forest, Three Rivers Ranger District",,,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0
99,Marmot Pass via Upper Dungeness River Trail,Olympic Peninsula,Hood Canal,15,4.20,16.2,roundtrip,3500,6000,Northwest Forest Pass,47.8779,-123.1370,Dungeness River (#833.2),"Olympic National Forest, Hood Canal Ranger District",WTA Correspondents,Mason White,143,1,1,1,1,0,0,0,1,0,1,0,0,1,0
100,Ancient Lakes,Central Washington,Wenatchee,45,3.98,12.0,roundtrip,625,1200,Discover Pass,47.1519,-119.9223,Washington Department of Fish and Wildlife,,WTA Correspondents,Bruce Bjornstad,338,1,0,1,1,1,1,0,0,1,0,0,1,0,0
101,South Coast Wilderness Trail - Toleak Point,Olympic Peninsula,Pacific Coast,15,4.20,17.0,one-way,250,250,None,47.8904,-124.6031,Olympic National Park,,WTA Community,Multiple authors contributed to this report,85,0,0,0,1,1,0,0,0,1,0,0,0,1,1
102,Mount Pilchuck,North Cascades,Mountain Loop Highway,139,4.52,5.4,roundtrip,2300,5327,Northwest Forest Pass,48.0702,-121.8147,Mount Pilchuck (#700),"Mt. Baker Snoqualmie National Forest, Darrington Ranger District; Washington State Parks",WTA Correspondents,Conor Dempsey,1230,1,1,1,0,0,0,0,0,0,0,1,0,0,0
103,Barclay Lake,Central Cascades,Stevens Pass - West,61,3.92,4.4,roundtrip,500,2423,Northwest Forest Pass,47.7917,-121.4559,Barclay Lake (#1055),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Correspondents,Maxwell Krem,720,1,1,0,1,0,1,1,0,0,1,0,1,1,0
104,Windy Ridge and Plains of Abraham,South Cascades,Mount St. Helens,9,4.11,8.8,roundtrip,1400,4850,Northwest Forest Pass,46.2489,-122.1361,Abraham (#216.4),Mount St. Helens National Volcanic Monument,,,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0
105,Wallace Falls State Park,Central Cascades,Stevens Pass - West,225,4.07,5.6,roundtrip,1300,1500,Discover Pass,47.8669,-121.6780,The Woody Trail (#),Washington State Parks,WTA Correspondents,Conor Dempsey,1072,0,1,1,0,1,1,0,0,0,1,0,1,1,0
106,Chain Lakes Loop,North Cascades,Mount Baker Area,31,4.45,8.0,roundtrip,1700,5400,Northwest Forest Pass,48.8469,-121.6925,Chain Lakes (#682),"Mt. Baker-Snoqualmie National Forest, Mount Baker Ranger District",WTA Correspondents,Anya Zolotusky,290,1,1,1,1,0,1,1,0,1,0,0,1,0,0
107,Skyscraper Mountain,Mount Rainier Area,NE - Sunrise/White River,17,3.94,8.0,roundtrip,1300,7000,National Park Pass,46.9146,-121.6423,"Sourdough Ridge Trail (#), Wonderland Trail (#)","Mount Rainier National Park, Sunrise Ranger Station",WTA Correspondents,Ken Giesbers,95,1,1,0,0,0,0,0,1,1,0,1,1,0,0
108,Easy Pass,North Cascades,North Cascades Highway - Hwy 20,15,3.67,7.0,roundtrip,2800,6500,Northwest Forest Pass,48.5879,-120.8029,Easy Pass (#741),"Okanogan-Wenatchee National Forest, Methow Valley Ranger District",WTA Staff,Anna Roth,121,1,1,0,0,0,0,1,1,0,0,0,0,0,0
109,Josephine Lake,Central Cascades,Stevens Pass - East,10,3.50,10.4,roundtrip,1800,5150,Northwest Forest Pass,47.7465,-121.0865,"Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",,WTA Correspondents,Rob Shurtleff,63,1,1,1,0,0,0,0,0,0,0,0,1,0,0
110,Dirty Harry's Museum,Snoqualmie Region,Snoqualmie Pass,1,3.00,5.4,roundtrip,2800,2800,Discover Pass,47.4343,-121.6327,"Department of Natural Resources, South Puget Sound Region",,WTA Community,Multiple authors contributed to this report,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,Dirty Harry's Balcony,Snoqualmie Region,Snoqualmie Pass,23,3.00,4.2,roundtrip,1300,2600,Discover Pass,47.4338,-121.6325,"Department of Natural Resources, South Puget Sound Region",,WTA Staff,Austin Easter,290,0,1,1,0,0,0,1,0,1,0,0,0,0,0
112,Dirty Harry's Peak,Snoqualmie Region,Snoqualmie Pass,13,3.15,7.6,roundtrip,3326,4662,Discover Pass,47.4343,-121.6327,"Department of Natural Resources, South Puget Sound Region",,WTA Community,Multiple authors contributed to this report,165,1,1,1,0,0,0,0,0,0,0,1,0,0,0
113,Gem Lake,Snoqualmie Region,Snoqualmie Pass,25,4.32,10.0,roundtrip,1800,4857,Northwest Forest Pass,47.4453,-121.4235,"Gem Lake (#1013), High Lakes (#1012)","Mt. Baker-Snoqualmie National Forest, Snoqualmie Ranger District",,,347,1,1,1,0,0,1,1,0,0,0,0,1,0,0
114,Carbon Glacier,Mount Rainier Area,NW - Carbon River/Mowich,16,3.69,21.4,roundtrip,1000,3400,National Park Pass,46.9771,-121.8315,Mount Rainier National Park,,WTA Staff,Anna Roth,80,1,1,0,1,1,1,0,0,0,1,0,0,1,0
115,Snowgrass Flat,South Cascades,Goat Rocks,21,4.33,8.2,roundtrip,1600,5800,Northwest Forest Pass,46.4642,-121.5190,Snowgrass (#96),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",,,179,1,1,1,1,0,0,0,0,0,0,0,0,0,0
116,Vesper Peak,North Cascades,Mountain Loop Highway,15,4.33,8.0,roundtrip,4200,6214,Northwest Forest Pass,48.0371,-121.4790,Sunrise Mine Trail (#707),"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District",WTA Correspondents,Paul Kriloff,215,1,1,1,0,0,0,0,1,0,0,1,1,1,0
117,Colchuck Lake,Central Cascades,Leavenworth Area,75,4.35,8.0,roundtrip,2280,5580,Northwest Forest Pass,47.5277,-120.8210,"Stuart Lake (#1599), Colchuck Lake (#1599A)","Okanogan-Wenatchee National Forest, Wenatchee River Ranger District",WTA Correspondents,Paul Kriloff,825,0,1,0,1,0,0,1,0,0,0,1,1,1,0
118,Rachel Lake,Snoqualmie Region,Snoqualmie Pass,60,3.98,8.0,roundtrip,1600,4600,Northwest Forest Pass,47.4012,-121.2848,Rachel Lake (#1313),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",WTA Correspondents,Rob Shurtleff,680,1,1,1,1,1,0,1,1,0,1,0,1,0,0
119,Beckler Peak,Central Cascades,Stevens Pass - West,40,4.50,7.6,roundtrip,2240,5026,None,47.7268,-121.2655,Beckler Peak (#1240),"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",WTA Community,Multiple authors contributed to this report,446,0,1,1,0,0,1,1,0,1,1,1,0,0,0
120,Big Gulch,Puget Sound and Islands,Seattle-Tacoma Area,5,2.80,2.6,roundtrip,300,460,None,47.9150,-122.2976,City of Mukilteo,,,,31,1,0,1,0,0,1,1,0,1,0,0,0,0,0
121,Clear Lost Trail to Lost Lake Lookout,South Cascades,White Pass/Cowlitz River Valley,6,2.83,14.0,one-way,3897,6316,None,46.6257,-121.4459,Clear Lost (#76),"Gifford Pinchot National Forest, Cowlitz Valley Ranger District",WTA Community,Cindy Nguyen,14,0,1,1,0,0,0,0,0,1,0,0,1,0,0
122,Three Lakes,Olympic Peninsula,Pacific Coast,6,2.83,13.8,roundtrip,2850,3175,National Park Pass,47.5676,-123.6553,Three Lakes (#8),"Olympic National Park, Pacific Ranger District -- Quinault WIC",WTA Correspondents,Wes Partch,25,1,1,0,1,0,0,0,0,1,1,0,1,1,0
123,Copper Ridge Loop,North Cascades,Mount Baker Area,9,4.44,34.0,roundtrip,8600,6260,Northwest Forest Pass,48.9102,-121.5917,"Hannegan Trail (#674), Copper Ridge Trail (#692), Chilliwack Trail (#676)","North Cascades National Park, Mt. Baker-Snoqualmie National Forest, Glacier Public Service Center",WTA Correspondents,Ken Giesbers,33,0,1,0,1,0,0,0,1,1,0,1,1,1,0
124,Marshall's Hill,Issaquah Alps,Cougar Mountain,5,3.40,2.4,roundtrip,,1005,None,,,Marshall's Hill (#COUGAR-W6),Cougar Mountain Regional Park,,,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0
125,Elk Mountain to Maiden Peak,Olympic Peninsula,Pacific Coast,4,4.75,8.0,roundtrip,840,6625,National Park Pass,47.9345,-123.3209,Olympic National Park,,,,6,1,1,0,1,0,0,0,1,1,0,0,0,0,0
126,Martin Creek Connector,Central Cascades,Stevens Pass - West,0,0.00,6.6,roundtrip,1260,3540,Northwest Forest Pass,47.7293,-121.2065,"Mt. Baker-Snoqualmie National Forest, Skykomish Ranger District",,WTA Staff,Anna Roth,11,0,0,0,0,1,1,1,0,0,1,0,0,1,0
127,Iron Peak Loop,Snoqualmie Region,Salmon La Sac/Teanaway,10,3.40,14.5,roundtrip,3600,6387,Northwest Forest Pass,47.4361,-120.9372,Iron Peak (#1399),"Okanogan-Wenatchee National Forest, Cle Elum Ranger District",,,102,1,1,1,0,0,0,0,0,1,0,1,0,0,0
128,Spray Park Loop,Mount Rainier Area,NW - Carbon River/Mowich,4,4.75,16.0,roundtrip,5100,6375,National Park Pass,46.9331,-121.8643,"Mount Rainier National Park, Carbon River District",,WTA Community,Eli Boschetto,46,1,1,0,1,1,0,1,1,0,0,0,1,0,0
129,Pine Lake,Olympic Peninsula,Hood Canal,6,2.17,4.8,roundtrip,700,1830,Northwest Forest Pass,47.4366,-123.4444,Pine Lake (#887),"Olympic National Forest, Hood Canal Ranger District",WTA Correspondents,McKenzie Carlson,13,0,0,1,0,0,1,0,0,1,1,0,1,1,0
130,Green to Cedar River Trail,Puget Sound and Islands,Seattle-Tacoma Area,6,3.50,5.56,roundtrip,50,,None,47.3614,-122.0248,King County Parks,,,,15,1,0,1,0,0,1,1,0,1,0,0,0,0,0
131,Sunrise Lake,Mount Rainier Area,NE - Sunrise/White River,11,3.82,1.5,roundtrip,425,6150,National Park Pass,46.9175,-121.5878,Mount Rainier National Park,,WTA Community,Multiple authors contributed to this report,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0
132,One-View Trail,Issaquah Alps,Tiger Mountain,5,3.20,1.4,roundtrip,,,Discover Pass,47.5230,-122.0270,One-View Trail (#TIGER),Tiger Mountain State Forest,,,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Talus Rock Trail,Issaquah Alps,Tiger Mountain,5,3.20,1.2,roundtrip,,,Discover Pass,47.5198,-121.9707,Talus Rock Trail (#TIGER),Tiger Mountain State Forest,,,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,South Tiger Traverse,Issaquah Alps,Tiger Mountain,5,3.80,3.4,roundtrip,,,Discover Pass,47.4434,-121.9760,Tiger Mountain State Forest,,,,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0
135,Puget Power,Issaquah Alps,Tiger Mountain,5,2.40,2.4,roundtrip,,,Discover Pass,47.5298,-122.0231,Puget Power (#TIGER),Tiger Mountain State Forest,,,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0
136,Rainier Trail - Issaquah,Issaquah Alps,,1,2.00,2.5,one-way,100,250,None,47.5314,-122.0358,City of Issaquah,,WTA Correspondents,Erik Morgenstern,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
137,Iverson Railroad Trail,Issaquah Alps,Tiger Mountain,11,2.82,3.0,roundtrip,850,1750,Discover Pass,47.4676,-121.9311,Iverson Railroad Trail (#TIGER),Tiger Mountain State Forest,,,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Licorice Fern Trail,Issaquah Alps,Cougar Mountain,10,3.40,3.8,roundtrip,200,700,None,47.5028,-122.1119,Licorice Fern (##COUGAR-S6),Cougar Mountain Regional Forest,WTA Correspondents,Nate and Jer Barnes,76,1,0,1,0,1,0,0,0,1,1,0,0,0,0
139,Grand Ridge Park,Issaquah Alps,,9,3.00,7.0,of,1100,,None,47.5263,-121.9364,Grand Ridge (#TIGER),King County Parks,WTA Community,Multiple authors contributed to this report,97,0,0,1,0,0,1,0,0,1,0,0,0,0,0
140,Soaring Eagle Regional Park,Issaquah Alps,,5,2.60,12.0,of,,500,None,47.6164,-121.9923,King County Parks,,WTA Community,King County Parks,52,0,0,1,0,0,1,0,0,1,0,0,0,0,0
141,Wildside Trail-De Leo Wall,Issaquah Alps,Cougar Mountain,17,2.76,4.2,roundtrip,489,1122,None,47.5348,-122.1288,"Wildside Trail (#COUGAR-W1), Marshall's Hill Trail (#COUGAR W-6), De Leo Wall (#COUGAR-W9)",King County Parks,WTA Correspondents,Kirt Lenard,116,1,1,1,0,0,1,0,0,1,0,0,0,0,0
142,West Tiger 3,Issaquah Alps,Tiger Mountain,30,3.30,5.0,roundtrip,2100,2525,Discover Pass,47.5296,-121.9956,West Tiger 3 (#TIGER),"Department of Natural Resources, South Puget Sound Region",WTA Correspondents,Austin Smith,494,0,1,0,0,0,0,0,0,1,1,0,0,0,0
143,Ring Hill Forest,Issaquah Alps,,2,2.00,2.6,roundtrip,,,None,47.7501,-122.0337,King County,,WTA Community,King County Parks,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0
144,Poo Poo Point - Chirico Trail,Issaquah Alps,Tiger Mountain,52,3.98,3.8,roundtrip,1760,1850,None,47.5000,-122.0219,Tiger Mountain State Forest,,WTA Correspondents,Alan Gibbs,611,0,1,1,0,0,1,1,0,0,0,1,0,0,0
145,Margaret's Way,Issaquah Alps,Squak Mountain,35,3.74,5.5,roundtrip,1500,1730,None,47.5066,-122.0867,King County Parks,,WTA Staff,Anna Roth,291,0,1,1,0,0,0,1,0,0,1,0,0,0,0
146,Coal Creek Trail,Issaquah Alps,Cougar Mountain,23,3.26,6.0,roundtrip,550,600,None,47.5542,-122.1666,Coal Creek (#COUGAR-N1),City of Bellevue,WTA Correspondents,Melissa Ozbek,145,0,0,1,0,1,1,0,0,0,0,0,0,0,0
147,Poo Poo Point ,Issaquah Alps,Tiger Mountain,96,3.77,7.2,roundtrip,1858,2021,None,47.5195,-122.0299,Poo Poo Point (#TIGER),"Department of Natural Resources, South Puget Sound Region",WTA Correspondents,Alan Gibbs,582,1,1,1,0,0,0,0,0,1,0,0,0,0,0
148,Coal Creek Falls,Issaquah Alps,Cougar Mountain,47,3.30,2.5,roundtrip,416,1066,None,47.5348,-122.1288,"Coal Creek Falls (#COUGAR-C4), Red Town Trail (#COUGAR-W2), Cave Hole Trail (#COUGAR-C3)",King County Parks,WTA Correspondents,Maura Marko,239,1,0,1,0,1,1,0,0,0,0,0,0,0,0
149,Interurban Trail,Puget Sound and Islands,Bellingham Area,2,2.50,11.8,roundtrip,300,350,Discover Pass,48.6587,-122.4712,Interurban trail (#),,WTA Correspondents,Mike Morrison,6,0,1,1,0,1,0,0,0,0,0,0,0,0,1
150,Cowen and Ravenna Parks,Puget Sound and Islands,Seattle-Tacoma Area,3,2.67,4.5,roundtrip,115,200,None,47.6720,-122.3144,City of Seattle Parks and Recreation,,WTA Correspondents,Maxwell Krem,13,1,0,1,0,0,1,1,0,1,1,0,0,0,0
151,Cheshiahud Lake Union Loop,Puget Sound and Islands,Seattle-Tacoma Area,4,3.50,6.0,roundtrip,,,None,47.6460,-122.3362,Seattle Parks and Recreation,,WTA Staff,Anna Roth,27,0,1,1,0,0,1,1,0,0,0,0,1,0,0
152,Cedar River Trail,Puget Sound and Islands,Seattle-Tacoma Area,8,3.62,17.4,one-way,820,600,None,47.5000,-122.2149,King County Parks,,WTA Correspondents,Ken Giesbers,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,Fort Casey State Park,Puget Sound and Islands,Bellingham Area,5,3.00,2.5,roundtrip,200,200,Discover Pass,48.1725,-122.6830,Washington State Parks,,WTA Correspondents,Mike Morrison,20,0,0,1,1,0,1,0,0,0,0,0,0,0,1
154,Green River Trail,Puget Sound and Islands,Seattle-Tacoma Area,2,2.50,19.7,one-way,,50,None,47.4680,-122.2493,King County Parks,,,,4,0,0,1,0,0,1,1,0,1,0,0,0,1,0
155,Paramount Open Space,Puget Sound and Islands,Seattle-Tacoma Area,1,1.00,0.95,roundtrip,120,380,None,47.7364,-122.3181,City of Shoreline,,WTA Correspondents,Alan Gibbs,2,1,0,1,0,0,1,1,0,1,0,0,0,0,0
156,Redmond Powerline Trail,Puget Sound and Islands,Seattle-Tacoma Area,1,2.00,6.7,one-way,548,574,None,47.6982,-122.0820,"Puget Sound Energy, King County Parks",,WTA Correspondents,Erik Morgenstern,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
157,Brightwater Center,Puget Sound and Islands,Seattle-Tacoma Area,2,2.50,3.0,of,120,290,None,47.7904,-122.1415,King County Parks,,WTA Correspondents,Maxwell Krem,23,0,0,1,0,0,1,1,0,1,0,0,1,0,0
158,520 Trail,Puget Sound and Islands,Seattle-Tacoma Area,1,3.00,4.9,one-way,164,164,None,47.6451,-122.3019,Washington Department of Transportation,,WTA Correspondents,Erik Morgenstern,6,0,1,1,0,0,0,0,0,1,0,0,1,0,0
159,Twin Ponds Park,Puget Sound and Islands,Seattle-Tacoma Area,1,1.00,1.25,roundtrip,45,340,None,47.7388,-122.3344,City of Shoreline,,WTA Correspondents,Alan Gibbs,2,0,0,1,0,0,1,1,0,1,0,0,1,0,0
160,Arlington Airport Trail,Puget Sound and Islands,Bellingham Area,2,3.50,6.0,of,,115,None,48.1665,-122.1509,City of Arlington ,,WTA Correspondents,Erik Morgenstern,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0
161,Lowell Riverfront Park Trail,Puget Sound and Islands,Bellingham Area,5,3.40,3.0,of,,,None,47.9478,-122.1925,City of Everett,,,,24,0,1,1,0,0,1,1,0,1,0,0,0,1,0
162,Spencer Island,Puget Sound and Islands,Seattle-Tacoma Area,11,3.36,6.6,roundtrip,,15,None,47.9942,-122.1793,Snohomish County Parks,,WTA Correspondents,Linda Roe,84,0,1,0,0,0,1,0,0,1,0,0,0,1,0
163,Interurban Trail - Snohomish County,Puget Sound and Islands,Seattle-Tacoma Area,2,2.50,18.8,one-way,,,None,47.7928,-122.3308,"City of Snohomish, City of Lynwood",,WTA Community,Multiple authors contributed to this report,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
164,Sehome Arboretum,Puget Sound and Islands,Bellingham Area,5,2.40,6.0,roundtrip,,,None,48.7330,-122.4846,City of Bellingham,,,,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1
165,Whatcom Falls Park,Puget Sound and Islands,Bellingham Area,6,4.00,4.0,roundtrip,50,,None,48.7525,-122.4280,City of Bellingham,,,,37,0,0,1,0,1,1,0,0,1,0,0,1,1,0
166,Union Bay Nature Area,Puget Sound and Islands,Seattle-Tacoma Area,3,2.33,1.5,roundtrip,,,,47.6580,-122.2906,University of Washington,,WTA Correspondents,Austin Smith,9,0,1,1,0,0,1,0,0,1,0,0,1,0,0
167,Redmond Watershed Preserve,Puget Sound and Islands,Seattle-Tacoma Area,4,3.75,4.5,roundtrip,400,580,None,47.6968,-122.0515,City of Redmond,,WTA Correspondents,Yas Obara,70,0,0,0,0,0,1,1,0,1,0,0,0,1,0
168,North Creek Park Boardwalk,Puget Sound and Islands,Seattle-Tacoma Area,3,3.33,2.0,roundtrip,,,None,47.8355,-122.2188,Snohomish County Parks,,,,76,0,0,1,0,0,1,0,0,1,0,0,0,0,0
169,Bridle Trails State Park,Puget Sound and Islands,,6,3.00,3.5,roundtrip,450,525,Discover Pass,47.6550,-122.1843,Washington State Parks,,WTA Correspondents,Kristen Sapowicz,40,1,0,1,0,0,1,0,0,1,0,0,1,0,0
170,Seattle Chinese Garden,Puget Sound and Islands,Seattle-Tacoma Area,2,3.00,2.0,of,,,None,47.5518,-122.3524,Seattle Chinese Garden,,WTA Community,Multiple authors contributed to this report,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0
171,Camp Long,Puget Sound and Islands,Seattle-Tacoma Area,6,3.33,1.6,roundtrip,240,350,None,47.5554,-122.3753,Seattle Parks and Recreation,,WTA Correspondents,Maxwell Krem,15,1,0,1,1,0,1,1,0,1,0,0,0,0,0
172,Kettles Trail System,Puget Sound and Islands,Whidbey Island,1,3.00,35.0,of,,200,Discover Pass,48.2270,-122.7403,"Fort Ebey State Park, Ebey Landing National Historical Reserve, Island County",,WTA Correspondents,Shannon Leader,15,1,1,1,0,0,1,1,0,0,0,0,0,0,1
173,Seward Park,Puget Sound and Islands,Seattle-Tacoma Area,8,4.00,2.4,roundtrip,,,None,47.5499,-122.2577,King County Parks,,WTA Correspondents,Claire Mitchell,27,0,0,1,0,0,1,1,0,1,0,0,1,0,0
174,Tolt Pipeline Trail,Puget Sound and Islands,Seattle-Tacoma Area,1,2.00,12.0,one-way,650,,None,,,King County ,,,,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0
175,Mount Erie,Puget Sound and Islands,San Juan Islands,11,4.45,5.0,roundtrip,1000,1300,None,48.4690,-122.6294,Anacortes City Parks,,WTA Staff,Anna Roth,84,0,1,1,0,0,0,0,0,1,0,1,1,0,1
176,Magnuson Park,Puget Sound and Islands,,3,3.67,3.0,of,,15,None,47.6770,-122.2559,City of Seattle,,WTA Community,Harper Meyerson,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
177,South Bay Trail,Puget Sound and Islands,Bellingham Area,7,4.00,4.0,roundtrip,20,20,None,48.7255,-122.5051,City of Bellingham,,,,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1
178,Ebey's Landing,Puget Sound and Islands,Whidbey Island,44,4.09,5.6,roundtrip,260,260,Discover Pass,48.2049,-122.7060,"Washington State Parks, Fort Ebey State Park",,WTA Staff,Anna Roth,290,1,1,1,0,0,1,0,0,1,0,0,0,0,1
179,Billy Frank Jr. Nisqually National Wildlife Area,Puget Sound and Islands,Seattle-Tacoma Area,33,3.97,5.0,roundtrip,10,10,Refuge Entrance Pass,47.0688,-122.7129,Nisqually National Wildlife Refuge,,WTA Community,Multiple authors contributed to this report,200,1,0,0,0,0,1,0,0,1,0,0,0,1,1
180,Ebey Waterfront Trail,Puget Sound and Islands,Seattle-Tacoma Area,3,3.33,3.2,roundtrip,,15,None,48.0486,-122.1771,"City of Marysville, Tulalip Tribes ",,WTA Staff,Jessi Loerch,22,0,1,1,0,0,1,0,0,1,0,0,0,1,0
181,Discovery Park Loop Trail,Puget Sound and Islands,Seattle-Tacoma Area,27,3.56,2.8,roundtrip,140,325,None,47.6576,-122.4065,City of Seattle,,WTA Correspondents,Alan Gibbs,99,1,1,1,0,0,1,1,0,1,0,0,0,0,1
182,Double Bluff,Puget Sound and Islands,Whidbey Island,9,3.22,4.0,roundtrip,,,,47.9826,-122.5142,Island County Parks,,,,26,0,1,1,0,0,1,0,0,1,0,0,0,0,1
183,Washington Park Arboretum,Puget Sound and Islands,Seattle-Tacoma Area,9,3.33,5.0,roundtrip,50,150,None,47.6416,-122.2905,"University of Washington, City of Seattle",,WTA Staff,Anna Roth,41,1,0,1,0,0,1,1,0,0,1,0,0,0,0
184,Al Borlin Park,Puget Sound and Islands,Seattle-Tacoma Area,4,3.00,1.2,of,,,None,47.8491,-121.9707,City of Monroe,,WTA Community,Multiple authors contributed to this report,7,0,0,1,0,0,1,1,0,0,0,0,0,1,0
185,Green Lantern Trail,Puget Sound and Islands,Seattle-Tacoma Area,4,2.50,2.8,roundtrip,33,463,,47.8895,-122.2070,City of Everett,,WTA Correspondents,Ken Peterson,15,0,0,1,0,0,1,0,0,1,0,0,1,0,0
186,Green Lake,Puget Sound and Islands,Seattle-Tacoma Area,11,3.18,2.8,roundtrip,,164,None,47.6690,-122.3401,Seattle Parks and Recreation,,WTA Correspondents,Maxwell Krem,21,0,0,1,0,0,1,1,0,1,1,0,1,0,0
187,Hamlin Park,Puget Sound and Islands,Seattle-Tacoma Area,1,1.00,1.6,roundtrip,200,440,None,47.7451,-122.3075,City of Shoreline,,WTA Correspondents,Alan Gibbs,5,1,0,1,0,0,1,1,0,1,0,0,0,0,0
188,Japanese Gulch,Puget Sound and Islands,Seattle-Tacoma Area,7,3.29,4.0,of,174,363,None,47.9468,-122.2921,City of Mukilteo,,WTA Community,Multiple authors contributed to this report,52,0,1,1,0,1,1,0,0,0,1,0,0,1,0
189,Mercer Slough Nature Park Trails,Puget Sound and Islands,Seattle-Tacoma Area,7,3.43,6.0,roundtrip,,,None,47.5915,-122.1933,Bellevue Parks and Recreation,,WTA Correspondents,Melissa Ozbek,26,0,0,1,0,0,1,0,0,1,0,0,1,1,0
